NAME  LAT  LONG
l184_ex-1900 54.8604 -100.1651
l192_ex-2100 54.8608 -100.1696
l184_100_ex550 54.8754 -100.137
l176_ex2100 54.8833 -100.1166
l192_ex-1500 54.8644 -100.163
l184_100_ex-350 54.8699 -100.1472
l176_ex700 54.8747 -100.1327
l192_ex-1900 54.8619 -100.1672
l176_ex2300 54.8846 -100.1147
l192_ex500 54.8766 -100.1402
l176_ex1700 54.8809 -100.1215
l176_ex-1300 54.8625 -100.1555
l192_ex2100 54.8864 -100.1219
l192_ex-900 54.8683 -100.1563
l184_ex100 54.8727 -100.1421
l176_ex-900 54.8649 -100.1509
l192_ex1900 54.8852 -100.1242
l184_ex-1500 54.8629 -100.1605
l176_ex-300 54.8685 -100.1441
l184_100_ex250 54.8736 -100.1404
l184_100_ex-650 54.8681 -100.1506
l192_ex1100 54.8803 -100.1334
l184_ex2300 54.886 -100.117
l176_ex-1500 54.8612 -100.1577
l176_ex-1900 54.8586 -100.162
l176_ex900 54.8759 -100.1305
l192_ex1500 54.8827 -100.1287
l176_ex-1700 54.86 -100.1599
l184_ex2100 54.8847 -100.1193
l192_ex-1300 54.8657 -100.1607
l184_ex1700 54.8824 -100.1238
l184_100_ex350 54.8742 -100.1392
l192_ex1300 54.8815 -100.131
l176_ex-1100 54.8637 -100.1533
l184_100_ex-950 54.8662 -100.1541
l176_ex-700 54.8661 -100.1487
l192_ex-1100 54.8669 -100.1583
l184_100_ex-250 54.8705 -100.1461
l176_ex300 54.8722 -100.1372
l184_100_ex1150 54.879 -100.1302
l184_100_ex950 54.8778 -100.1324
l176_ex-500 54.8674 -100.1464
l192_ex300 54.8755 -100.1425
l184_ex1500 54.8811 -100.1261
l184_100_ex650 54.876 -100.1359
l192_ex900 54.8791 -100.1356
l176_ex-2100 54.8575 -100.1644
l176_ex100 54.871 -100.1395
l184_ex-1700 54.8617 -100.1628
l192_ex100 54.8742 -100.1448
l176_ex1500 54.8796 -100.1237
l184_100_ex1050 54.8784 -100.1313
l192_ex2300 54.8876 -100.1196
l192_ex-700 54.8694 -100.1539
l184_100_ex-50 54.8717 -100.1438
l184_ex-1300 54.8642 -100.158
l192_ex-1700 54.8632 -100.1651
l184_100_ex750 54.8766 -100.1347
l184_ex-2100 54.8591 -100.1672
l192_ex-300 54.8718 -100.1493
l192_ex1700 54.8839 -100.1265
l184_ex1300 54.88 -100.1284
l176_ex1900 54.8821 -100.1192
l192_ex700 54.8779 -100.1379
l176_ex1300 54.8784 -100.126
l176_ex-100 54.8698 -100.1417
l176_ex1100 54.8771 -100.1282
l184_ex1900 54.8835 -100.1214
l192_ex-500 54.8706 -100.1516
l184_100_ex-450 54.8693 -100.1483
l176_ex500 54.8735 -100.1349
l192_ex-100 54.873 -100.147
l184_ex-500 54.869 -100.1489
